bits,i,size,MSH,S_MSH,MMP,S_MMP,PMP,S_PMP
5,32,10000000,288.0506,347222361140,763.9617,347222361140,1458.603,347222361140
5,33,10000000,285.1956,347222361140,756.2539,347222361140,1444.5978,347222361140
5,34,10000000,290.3705,347222361140,762.9304,347222361140,1445.2623,347222361140
5,35,10000000,288.4815,347222361140,776.1697,347222361140,1454.8143,347222361140
5,36,10000000,296.9894,347222361140,772.8253,347222361140,1448.1447,347222361140
5,37,10000000,297.0056,347222361140,765.4017,347222361140,1454.1869,347222361140
5,38,10000000,286.7151,347222361140,764.6547,347222361140,1455.1813,347222361140
5,39,10000000,289.9519,347222361140,761.6089,347222361140,1460.3414,347222361140
5,40,10000000,298.3931,347222361140,759.5978,347222361140,1450.909,347222361140
5,41,10000000,292.5437,347222361140,759.3688,347222361140,1450.3156,347222361140
5,42,10000000,290.7279,347222361140,759.9772,347222361140,1446.4175,347222361140
5,43,10000000,291.0406,347222361140,782.0422,347222361140,1456.9119,347222361140
5,44,10000000,289.519,347222361140,770.1659,347222361140,1441.61,347222361140
5,45,10000000,290.8324,347222361140,778.6851,347222361140,1458.4906,347222361140
5,46,10000000,287.895,347222361140,760.6247,347222361140,1460.9161,347222361140
5,47,10000000,286.591,347222361140,762.2756,347222361140,1457.0216,347222361140
5,48,10000000,288.6302,347222361140,772.7911,347222361140,1452.0939,347222361140
5,49,10000000,288.1956,347222361140,767.4368,347222361140,1454.0024,347222361140
5,50,10000000,289.897,347222361140,769.1732,347222361140,1455.6577,347222361140
5,51,10000000,285.5804,347222361140,773.524,347222361140,1451.1653,347222361140
5,52,10000000,291.612,347222361140,762.5257,347222361140,1465.2244,347222361140
5,53,10000000,288.4814,347222361140,778.9518,347222361140,1450.6985,347222361140
5,54,10000000,294.2299,347222361140,758.3502,347222361140,1461.979,347222361140
5,55,10000000,290.031,347222361140,760.989,347222361140,1452.2759,347222361140
5,56,10000000,290.9982,347222361140,767.3193,347222361140,1455.6514,347222361140
5,57,10000000,292.3954,347222361140,781.5907,347222361140,1459.2334,347222361140
5,58,10000000,286.9821,347222361140,767.4557,347222361140,1467.5719,347222361140
5,59,10000000,298.7834,347222361140,761.1858,347222361140,1455.0223,347222361140
5,60,10000000,292.184,347222361140,758.6288,347222361140,1460.5492,347222361140
5,61,10000000,287.9375,347222361140,756.5573,347222361140,1460.5076,347222361140
5,62,10000000,291.964,347222361140,772.9191,347222361140,1452.2042,347222361140
5,63,10000000,284.0896,347222361140,770.6242,347222361140,1456.2677,347222361140
5,64,10000000,297.7641,347222361140,759.7918,347222361140,1469.8633,347222361140
5,65,10000000,290.2873,347222361140,756.3879,347222361140,1453.1638,347222361140
5,66,10000000,294.9109,347222361140,757.5223,347222361140,1454.8123,347222361140
5,67,10000000,291.2653,347222361140,772.9971,347222361140,1461.0309,347222361140
5,68,10000000,284.7691,347222361140,757.1712,347222361140,1457.7538,347222361140
5,69,10000000,284.3477,347222361140,773.5178,347222361140,1459.0252,347222361140
5,70,10000000,282.9298,347222361140,757.5429,347222361140,1463.3668,347222361140
5,71,10000000,295.4943,347222361140,772.4658,347222361140,1451.4068,347222361140
5,72,10000000,288.0301,347222361140,765.407,347222361140,1453.0096,347222361140
5,73,10000000,285.6572,347222361140,768.0489,347222361140,1469.0885,347222361140
5,74,10000000,292.4161,347222361140,766.5246,347222361140,1456.3355,347222361140
5,75,10000000,289.1011,347222361140,770.547,347222361140,1459.7654,347222361140
5,76,10000000,286.6967,347222361140,760.4412,347222361140,1455.4172,347222361140
5,77,10000000,288.0963,347222361140,770.8955,347222361140,1466.0984,347222361140
5,78,10000000,294.8176,347222361140,772.1056,347222361140,1476.4103,347222361140
5,79,10000000,300.0218,347222361140,762.2473,347222361140,1456.6335,347222361140
5,80,10000000,284.981,347222361140,758.6624,347222361140,1446.6646,347222361140
5,81,10000000,286.2672,347222361140,763.9145,347222361140,1455.1169,347222361140
5,82,10000000,288.5059,347222361140,761.9405,347222361140,1458.0221,347222361140
5,83,10000000,289.645,347222361140,775.45,347222361140,1455.3346,347222361140
5,84,10000000,284.1956,347222361140,761.8108,347222361140,1452.3474,347222361140
5,85,10000000,288.4935,347222361140,759.8957,347222361140,1448.7425,347222361140
5,86,10000000,291.4453,347222361140,765.4329,347222361140,1454.273,347222361140
5,87,10000000,289.3719,347222361140,771.0799,347222361140,1464.7416,347222361140
5,88,10000000,288.5092,347222361140,762.5531,347222361140,1455.5383,347222361140
5,89,10000000,286.4075,347222361140,755.3048,347222361140,1455.4345,347222361140
5,90,10000000,289.6403,347222361140,770.1703,347222361140,1453.4595,347222361140
5,91,10000000,287.6522,347222361140,763.6893,347222361140,1477.3964,347222361140
5,92,10000000,283.6965,347222361140,771.0215,347222361140,1461.2804,347222361140
5,93,10000000,290.5704,347222361140,760.652,347222361140,1459.254,347222361140
5,94,10000000,287.2877,347222361140,760.7372,347222361140,1459.2849,347222361140
5,95,10000000,294.6171,347222361140,769.92,347222361140,1455.8643,347222361140
5,96,10000000,292.5863,347222361140,764.418,347222361140,1476.3286,347222361140
5,97,10000000,285.5627,347222361140,776.6115,347222361140,1456.8485,347222361140
5,98,10000000,295.4294,347222361140,770.5743,347222361140,1452.0417,347222361140
5,99,10000000,288.3657,347222361140,771.6253,347222361140,1458.9103,347222361140
6,0,10000000,289.3776,173611180612,791.4032,173611180612,1478.3302,173611180612
6,1,10000000,291.0219,173611180612,786.2108,173611180612,1476.1973,173611180612
6,2,10000000,296.8648,173611180612,799.5576,173611180612,1479.814,173611180612
6,3,10000000,295.4236,173611180612,800.48,173611180612,1467.8133,173611180612
6,4,10000000,297.0574,173611180612,804.2486,173611180612,1484.5058,173611180612
6,5,10000000,296.7854,173611180612,791.2174,173611180612,1480.6788,173611180612
6,6,10000000,297.3893,173611180612,791.7453,173611180612,1475.4474,173611180612
6,7,10000000,295.7607,173611180612,798.941,173611180612,1472.3624,173611180612
6,8,10000000,286.2888,173611180612,802.5783,173611180612,1473.7248,173611180612
6,9,10000000,293.76,173611180612,792.0798,173611180612,1464.0307,173611180612
6,10,10000000,292.0207,173611180612,786.296,173611180612,1475.6103,173611180612
6,11,10000000,291.8342,173611180612,787.5297,173611180612,1471.3641,173611180612
6,12,10000000,294.1773,173611180612,788.3735,173611180612,1474.6677,173611180612
6,13,10000000,298.5633,173611180612,791.1301,173611180612,1466.0757,173611180612
6,14,10000000,290.7159,173611180612,783.4669,173611180612,1473.5588,173611180612
6,15,10000000,296.5927,173611180612,798.0037,173611180612,1471.4471,173611180612
6,16,10000000,304.3076,173611180612,782.9429,173611180612,1484.44,173611180612
6,17,10000000,286.9843,173611180612,795.6846,173611180612,1461.6262,173611180612
6,18,10000000,294.2378,173611180612,800.327,173611180612,1487.0011,173611180612
6,19,10000000,296.5731,173611180612,791.8075,173611180612,1478.0611,173611180612
6,20,10000000,293.7279,173611180612,787.8345,173611180612,1478.9137,173611180612
6,21,10000000,291.3694,173611180612,803.9445,173611180612,1479.047,173611180612
6,22,10000000,293.3616,173611180612,791.7355,173611180612,1479.4364,173611180612
6,23,10000000,287.8681,173611180612,793.9625,173611180612,1478.2,173611180612
6,24,10000000,300.0256,173611180612,791.6066,173611180612,1481.8829,173611180612
6,25,10000000,287.2764,173611180612,795.4697,173611180612,1466.2026,173611180612
6,26,10000000,300.79,173611180612,793.5097,173611180612,1480.3581,173611180612
6,27,10000000,290.6184,173611180612,796.7022,173611180612,1470.786,173611180612
6,28,10000000,292.457,173611180612,799.7812,173611180612,1479.7934,173611180612
6,29,10000000,291.4595,173611180612,795.1466,173611180612,1488.8033,173611180612
6,30,10000000,299.8941,173611180612,793.9717,173611180612,1478.2774,173611180612
6,31,10000000,290.6371,173611180612,797.8136,173611180612,1492.343,173611180612
6,32,10000000,293.3578,173611180612,798.9277,173611180612,1470.9378,173611180612
6,33,10000000,290.7736,173611180612,801.2052,173611180612,1479.8549,173611180612
6,34,10000000,301.8591,173611180612,806.2478,173611180612,1493.1918,173611180612
6,35,10000000,284.2807,173611180612,797.5962,173611180612,1479.8715,173611180612
6,36,10000000,291.3183,173611180612,796.5713,173611180612,1474.5751,173611180612
6,37,10000000,292.2266,173611180612,795.8868,173611180612,1484.8085,173611180612
6,38,10000000,291.483,173611180612,810.1003,173611180612,1475.2973,173611180612
6,39,10000000,291.3578,173611180612,802.2482,173611180612,1477.6256,173611180612
6,40,10000000,293.8717,173611180612,806.7637,173611180612,1479.0918,173611180612
6,41,10000000,295.2157,173611180612,808.2923,173611180612,1486.5789,173611180612
6,42,10000000,294.6022,173611180612,807.4892,173611180612,1486.4975,173611180612
6,43,10000000,293.3685,173611180612,802.6783,173611180612,1486.0027,173611180612
6,44,10000000,295.0293,173611180612,791.9884,173611180612,1478.3458,173611180612
6,45,10000000,290.1747,173611180612,793.7176,173611180612,1488.0136,173611180612
6,46,10000000,294.7277,173611180612,793.9012,173611180612,1485.7698,173611180612
6,47,10000000,289.4692,173611180612,810.6557,173611180612,1482.0828,173611180612
6,48,10000000,292.0871,173611180612,801.9794,173611180612,1489.1495,173611180612
6,49,10000000,292.8166,173611180612,801.6504,173611180612,1487.0396,173611180612
