bits,i,size,MSH,t1,MMP,t2,PMP,t3
6,27,10000000,120.768,307812500,590.4168,314843750,1266.3784,323906250
6,28,10000000,117.7892,307812500,590.6876,314843750,1266.5724,323906250
6,29,10000000,116.8807,307812500,597.7713,314843750,1259.6902,323906250
6,30,10000000,118.1409,307812500,588.4053,314843750,1272.3682,323906250
6,31,10000000,117.8888,307812500,600.9104,314843750,1276.3898,323906250
6,32,10000000,121.3979,307812500,592.0843,314843750,1259.9884,323906250
6,33,10000000,117.9959,307812500,597.3831,314843750,1268.0093,323906250
6,34,10000000,117.0379,307812500,593.2987,314843750,1263.6796,323906250
6,35,10000000,117.2933,307812500,587.5833,314843750,1273.2509,323906250
6,36,10000000,120.2822,307812500,596.2366,314843750,1258.6894,323906250
6,37,10000000,117.2034,307812500,593.3546,314843750,1264.1641,323906250
6,38,10000000,115.7203,307812500,591.9124,314843750,1258.4846,323906250
6,39,10000000,115.2159,307812500,589.5273,314843750,1262.9296,323906250
6,40,10000000,114.4314,307812500,589.0245,314843750,1270.3853,323906250
6,41,10000000,114.6356,307812500,606.735,314843750,1278.24,323906250
6,42,10000000,113.5513,307812500,594.6597,314843750,1270.1353,323906250
6,43,10000000,115.7373,307812500,592.1194,314843750,1265.6939,323906250
6,44,10000000,112.8587,307812500,591.789,314843750,1253.7982,323906250
6,45,10000000,116.0534,307812500,590.8174,314843750,1260.6465,323906250
6,46,10000000,115.1851,307812500,590.9344,314843750,1254.5353,323906250
6,47,10000000,114.108,307812500,590.605,314843750,1264.2667,323906250
6,48,10000000,114.3404,307812500,588.0263,314843750,1271.0119,323906250
6,49,10000000,113.9501,307812500,587.1476,314843750,1260.9007,323906250
6,50,10000000,114.4521,307812500,595.7359,314843750,1262.7063,323906250
6,51,10000000,116.2143,307812500,589.4874,314843750,1267.0391,323906250
6,52,10000000,115.2647,307812500,589.0894,314843750,1279.5671,323906250
6,53,10000000,120.0412,307812500,599.4401,314843750,1272.8835,323906250
6,54,10000000,113.9951,307812500,591.95,314843750,1261.9867,323906250
6,55,10000000,113.9019,307812500,589.2253,314843750,1265.7779,323906250
6,56,10000000,119.1899,307812500,589.1607,314843750,1275.7461,323906250
6,57,10000000,114.944,307812500,593.073,314843750,1268.1075,323906250
6,58,10000000,120.885,307812500,590.7049,314843750,1262.921,323906250
6,59,10000000,113.4841,307812500,604.8425,314843750,1278.0992,323906250
6,60,10000000,118.2587,307812500,598.3164,314843750,1260.919,323906250
6,61,10000000,115.0284,307812500,587.9669,314843750,1267.6921,323906250
6,62,10000000,114.7645,307812500,587.5204,314843750,1262.7854,323906250
6,63,10000000,115.5607,307812500,597.2943,314843750,1252.5745,323906250
6,64,10000000,117.9364,307812500,592.7078,314843750,1259.2582,323906250
6,65,10000000,114.2692,307812500,590.7663,314843750,1255.2127,323906250
6,66,10000000,114.9116,307812500,594.4298,314843750,1256.1901,323906250
6,67,10000000,116.6609,307812500,589.987,314843750,1273.0879,323906250
6,68,10000000,115.6103,307812500,589.0552,314843750,1255.1155,323906250
6,69,10000000,114.8692,307812500,587.8195,314843750,1263.0425,323906250
6,70,10000000,117.2291,307812500,589.7732,314843750,1256.5906,323906250
6,71,10000000,114.7035,307812500,591.3293,314843750,1256.4785,323906250
6,72,10000000,119.4277,307812500,601.7162,314843750,1259.8026,323906250
6,73,10000000,118.0249,307812500,588.2921,314843750,1261.9153,323906250
6,74,10000000,114.8061,307812500,592.1131,314843750,1260.5101,323906250
6,75,10000000,115.4517,307812500,591.6418,314843750,1258.8912,323906250
6,76,10000000,114.8043,307812500,588.2793,314843750,1257.7478,323906250
6,77,10000000,119.9099,307812500,588.6111,314843750,1258.9645,323906250
6,78,10000000,116.1353,307812500,588.3712,314843750,1254.665,323906250
6,79,10000000,115.6484,307812500,590.1566,314843750,1258.8548,323906250
6,80,10000000,118.1734,307812500,587.958,314843750,1254.7548,323906250
6,81,10000000,114.0238,307812500,587.3267,314843750,1253.2853,323906250
6,82,10000000,113.7268,307812500,587.5201,314843750,1254.7725,323906250
6,83,10000000,116.6325,307812500,588.2337,314843750,1260.2888,323906250
6,84,10000000,114.3849,307812500,589.1585,314843750,1255.7204,323906250
6,85,10000000,114.6172,307812500,589.2658,314843750,1255.6865,323906250
6,86,10000000,114.3707,307812500,589.0974,314843750,1256.0475,323906250
6,87,10000000,114.8637,307812500,588.7305,314843750,1259.2106,323906250
6,88,10000000,118.7882,307812500,589.8366,314843750,1255.2647,323906250
